adjust_temp,ApplStandard,Brand,Cap,Country,Decl Stand Heat,Depth,Gross Store Cap,Heating Elements,Height,Label-MEPSNZ,Model No,Family Name,N-Standard,N-Standard_MEPS,Sold_in,Submit_ID,SubmitStatus,tot_expan_valves,tot_feed_tanks,tot_hotwat_fittings,TPR Valves,Type,vent_displacement,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,MP 1801,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30052,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.59,,250.0,,,MEPS-NZ2003-electric,MP 250,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30053,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.59,,250.0,,,MEPS-NZ2003-electric,MP 2501,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30053,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.76,,300.0,,,MEPS-NZ2003-electric,MP 300,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30054,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.76,,300.0,,,MEPS-NZ2003-electric,MP 3001,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30054,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.55,,44.0,,,MEPS-NZ2003-electric,TR 044 445 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30055,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.93,,90.0,,,MEPS-NZ2003-electric,TR 090 430 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30056,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.86,,90.0,,,MEPS-NZ2003-electric,TR 090 500 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30057,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.87,,90.0,,,MEPS-NZ2003-electric,TR 090 530 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30058,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.15,,135.0,,,MEPS-NZ2003-electric,TR 135 470 14,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30059,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
