Record ID,Status,Brand Name,Model Number,Family Name,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL,Availability Status,Expiry Date,Star Image Large,Star Image Small
118771,Approved,AOC,270LM00031,,"Australia,Fiji,New Zealand",China,68.467,LCD,184.0,0.4,2.41811468082925,2.0,http://www.tpv-tech.com,,Available,2024-01-31,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
118815,Approved,LG,32BK50Q,"32QK500, 32BK50Q","Australia,Fiji,New Zealand",China,80.054,LCD (LED),117.0,0.25,5.52249435453755,5.5,,,Available,2024-01-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
118815,Approved,LG,32QK500,"32QK500, 32BK50Q","Australia,Fiji,New Zealand",China,80.054,LCD (LED),117.0,0.25,5.52249435453755,5.5,,,Available,2024-01-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
118815,Approved,LG,"32QK500, 32BK50Q","32QK500, 32BK50Q","Australia,Fiji,New Zealand",China,80.054,LCD (LED),117.0,0.25,5.52249435453755,5.5,,,Available,2024-01-18,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
118834,Approved,HP,E223d,,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),75.0,0.377,5.03351916285451,5.0,,http://www.hp.com/,Available,2024-01-30,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
118860,Approved,LG,19MB35PE,,"Australia,New Zealand","Indonesia,South Korea,China",48.193,LCD (LED),60.0,0.19,5.69943289250076,5.5,,,Available,2024-01-23,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
118917,Approved,LG,32ML600M,,"Australia,New Zealand","Indonesia,South Korea,China",80.131,LCD (LED),116.0,0.23,5.57073732691308,5.5,,,Available,2024-01-30,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png
118925,Approved,Acer,UM.CX0SA.A01,X34,"Australia,Fiji,New Zealand",China,86.557,LCD (LED),257.0,0.4,1.91209146588938,1.5,http://www.acer.com.au/,,Available,2024-01-25,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
118925,Approved,Acer,UM.CX0SA.P01,X34,"Australia,Fiji,New Zealand",China,86.557,LCD (LED),257.0,0.4,1.91209146588938,1.5,http://www.acer.com.au/,,Available,2024-01-25,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
118925,Approved,Acer,UM.CX0SA.P02,X34,"Australia,Fiji,New Zealand",China,86.557,LCD (LED),257.0,0.4,1.91209146588938,1.5,http://www.acer.com.au/,,Available,2024-01-25,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
118925,Approved,Acer,UM.CX1SA.002,X34,"Australia,Fiji,New Zealand",China,86.557,LCD (LED),257.0,0.4,1.91209146588938,1.5,http://www.acer.com.au/,,Available,2024-01-25,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
118925,Approved,Acer,UM.CX1SG.002,X34,"Australia,Fiji,New Zealand",China,86.557,LCD (LED),257.0,0.4,1.91209146588938,1.5,http://www.acer.com.au/,,Available,2024-01-25,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
118925,Approved,Acer,X34,X34,"Australia,Fiji,New Zealand",China,86.557,LCD (LED),257.0,0.4,1.91209146588938,1.5,http://www.acer.com.au/,,Available,2024-01-25,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
119040,Approved,PHILIPS,252B9,,"Australia,Fiji,New Zealand",China,63.361,LCD,96.0,0.39,5.00864121501371,5.0,http://www.tpv-tech.com,,Available,2024-02-20,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png
119165,Approved,KONKA,KD27810GC,,"Australia,Fiji,New Zealand",China,68.599,LCD (LED),107.0,0.33,4.86035527625876,4.5,,,Available,2024-02-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
