ApplStandard,Brand,Country,Lamp_Freq,Model No,Family Name,N-Standard,nom_len,nom_watt,Rated_CRI,Rated_IE,Rated_IL,Rated_ILW,Rated_ME,Rated_ML,Rated_MLW,Sold_in,Submit_ID,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,ILCOS Code,Nominal Diameter (mm)
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,MIRABELLA,China,50Hz,TRI086518,,AS/NZS 4782.1:2004,600.0,18.0,82.0,72.2222222222222,1300.0,18.0,65.0,1170.0,18.0,Australia,109282,Approved,2022-10-26,,Class 1,Unavailable,,http://www.mirabella.com.au,FD-18-E-G13-26/600,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,NEC,Japan,50Hz,FL40SSEX-N/37-HG,,AS/NZS 4782.1:2004,1198.0,37.0,88.1,87.5384615384615,3414.0,39.0,74.293059125964,2890.0,38.9,"Australia,New Zealand",109766,Approved,2022-09-16,,Class 3,Available,http://www.legrand.com.au/,http://www.nelt.co.jp/english/index.html,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,NELSON,China,50Hz,MT18D,,AS/NZS 4782.1:2004,589.8,18.0,81.0,72.2222222222222,1300.0,18.0,68.1976744186046,1173.0,17.2,"Australia,New Zealand",109769,Approved,2022-09-25,,Class 1,Available,http://www.legrand.com.au/,http://www.nelsonlamps.com.au,FD-18-E-G13-26/600,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,NELSON,China,50Hz,MT36D,,AS/NZS 4782.1:2004,1198.0,36.0,81.0,86.1111111111111,3100.0,36.0,80.2777777777778,2890.0,36.0,"Australia,New Zealand",109778,Approved,2022-10-23,,Class 3,Available,http://www.legrand.com.au/,http://www.nelsonlamps.com.au,FD-36-E-G13-26/1200,26.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,NELSON,China,High Frequency,M5T28CC,,AS/NZS 4782.1:2004,1150.0,28.0,81.0,92.0,2576.0,28.0,83.8571428571429,2348.0,28.0,"Australia,New Zealand",109853,Approved,2022-10-23,,Class 3,Available,http://www.legrand.com.au/,http://www.nelsonlamps.com.au,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,NELSON,China,High Frequency,M5T28NC,,AS/NZS 4782.1:2004,1150.0,28.0,81.0,88.2142857142857,2470.0,28.0,80.8928571428571,2265.0,28.0,"Australia,New Zealand",109854,Approved,2022-11-28,,Class 3,Available,http://www.legrand.com.au/,http://www.nelsonlamps.com.au,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61071,FT5/35W/840/GE/SL1,AS/NZS 4782.1:2004,1449.0,35.0,82.0,94.1176470588235,3200.0,34.0,84.1470588235294,2861.0,34.0,"Australia,New Zealand",110274,Approved,2022-10-24,,Class 4,Unavailable,,,FDH-35-L/P-G5-16/1450,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61103,FT5/35W/840/GE/SL1,AS/NZS 4782.1:2004,1449.0,35.0,82.0,94.1176470588235,3200.0,34.0,84.1470588235294,2861.0,34.0,"Australia,New Zealand",110274,Approved,2022-10-24,,Class 4,Unavailable,,,FDH-35-L/P-G5-16/1450,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F35W/840/LL,FT5/35W/840/GE/SL1,AS/NZS 4782.1:2004,1449.0,35.0,82.0,94.1176470588235,3200.0,34.0,84.1470588235294,2861.0,34.0,"Australia,New Zealand",110274,Approved,2022-10-24,,Class 4,Unavailable,,,FDH-35-L/P-G5-16/1450,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/35W/840/GE/SL1,FT5/35W/840/GE/SL1,AS/NZS 4782.1:2004,1449.0,35.0,82.0,94.1176470588235,3200.0,34.0,84.1470588235294,2861.0,34.0,"Australia,New Zealand",110274,Approved,2022-10-24,,Class 4,Unavailable,,,FDH-35-L/P-G5-16/1450,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61070,FT5/28W/840/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,82.11,83.9892086330935,2334.9,27.8,83.3892857142857,2334.9,28.0,"Australia,New Zealand",110291,Approved,2022-10-24,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61102,FT5/28W/840/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,82.11,83.9892086330935,2334.9,27.8,83.3892857142857,2334.9,28.0,"Australia,New Zealand",110291,Approved,2022-10-24,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F28W/840/LL,FT5/28W/840/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,82.11,83.9892086330935,2334.9,27.8,83.3892857142857,2334.9,28.0,"Australia,New Zealand",110291,Approved,2022-10-24,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/28W/840/GE/SL1,FT5/28W/840/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,82.11,83.9892086330935,2334.9,27.8,83.3892857142857,2334.9,28.0,"Australia,New Zealand",110291,Approved,2022-10-24,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61098,FT5/28W/865/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,83.0,86.5467625899281,2406.0,27.8,77.8853046594982,2173.0,27.9,"Australia,New Zealand",110297,Approved,2022-10-26,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,F28W/865/LL,FT5/28W/865/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,83.0,86.5467625899281,2406.0,27.8,77.8853046594982,2173.0,27.9,"Australia,New Zealand",110297,Approved,2022-10-26,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,FT5/28W/865/GE/SL1,FT5/28W/865/GE/SL1,AS/NZS 4782.1:2004,1149.0,28.0,83.0,86.5467625899281,2406.0,27.8,77.8853046594982,2173.0,27.9,"Australia,New Zealand",110297,Approved,2022-10-26,,Class 2,Unavailable,,,FDH-28-L/P-G5-16/1150,16.0
Greenhouse and Energy Minimum Standards (Double-capped fluorescent lamps) Determination 2017,GE,China,High Frequency,61081,FT5/24W/840/GE/SL1,AS/NZS 4782.1:2004,550.0,24.0,84.0,83.0222222222222,1868.0,22.5,74.7577092511013,1697.0,22.7,"Australia,New Zealand",110298,Approved,2022-10-24,,Class 1,Unavailable,,,FDH-24-L/P-G5-16/550,16.0
