Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
True,AS/NZS 4474.2:2001 (Legacy),AWARD,469,"136.0,348.0","108.0,334.0","Freezer,Chill",Upright,Turkey,688.0,Refrigerator/Freezer,0,136,5T,1818.0,False,MEPS 2005 (table 3a),AWARD GT540,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.8683,,,538.34,New Zealand,42992,Approved,484.0,761.0,,,Class 5,Unavailable,http://www.vestelinternational.com,http://www.awardappliances.co.nz,311.0,0.357,565.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0182
True,AS/NZS 4474.2:2009,AWARD,529,"156.0,395.0","131.0,372.0","Freezer,Fresh Food",Upright,Turkey,720.0,Refrigerator/Freezer,395,156,5T,1817.0,False,MEPS 2005 (table 3a),AWARD GT640,,AS/NZS 4474.1:2007,2.5,2.6816,,,568.178,New Zealand,42993,Superseded,551.0,811.0,,2011-12-01,Class 5,Available,http://www.vestelinternational.com,http://www.awardappliances.co.nz,311.0,0.357,644.6,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0181
False,AS/NZS 4474.2:2001 (Legacy),NOUVEAU,373,300.0,300.0,Freezer,Chest,China,742.0,Freezer,0,300,6C,880.0,False,MEPS 2005 (table 3a),NVBD300,,AS/NZS 4474.1:2007,2.5,2.9401,,,421.84,New Zealand,43064,Superseded,300.0,1137.0,,2010-03-31,Class 8,Unavailable,,,190.0,0.483,480.0,6C,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0183
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,495,"130.0,290.0","105.0,274.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,290,130,5T,1692.0,False,MEPS 2005 (table 3a),MR-420XL-ST-NZ,,AS/NZS 4474.1:2007,2.0,2.404,,,513.225,"Australia,New Zealand",43737,Superseded,420.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,498.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0184
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,495,"130.0,290.0","105.0,274.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,290,130,5T,1692.0,False,MEPS 2005 (table 3a),MR-420-XL-W-NZ,,AS/NZS 4474.1:2007,2.0,2.404,,,513.225,"Australia,New Zealand",43737,Superseded,420.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,498.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0184
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,495,"130.0,290.0","105.0,274.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,290,130,5T,1692.0,False,MEPS 2005 (table 3a),MR-420X-ST-NZ,,AS/NZS 4474.1:2007,2.0,2.404,,,513.225,"Australia,New Zealand",43737,Superseded,420.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,498.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0184
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,495,"130.0,290.0","105.0,274.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,290,130,5T,1692.0,False,MEPS 2005 (table 3a),MR-420X-W-NZ,,AS/NZS 4474.1:2007,2.0,2.404,,,513.225,"Australia,New Zealand",43737,Superseded,420.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,498.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0184
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,452,"130.0,255.0","105.0,239.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,255,130,5T,1587.0,False,MEPS 2005 (table 3a),MR-385XL-ST-NZ,,AS/NZS 4474.1:2007,2.5,2.6108,,,500.106,"Australia,New Zealand",43742,Superseded,385.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,463.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0191
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,452,"130.0,255.0","105.0,239.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,255,130,5T,1587.0,False,MEPS 2005 (table 3a),MR-385XL-W-NZ,,AS/NZS 4474.1:2007,2.5,2.6108,,,500.106,"Australia,New Zealand",43742,Superseded,385.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,463.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0191
True,AS/NZS 4474.2:2001 (Legacy),MITSUBISHI ELECTRIC,452,"130.0,255.0","105.0,239.0","Freezer,Fresh Food",Upright,Thailand,694.0,Refrigerator/Freezer,255,130,5T,1587.0,False,MEPS 2005 (table 3a),MR-385X-ST-NZ,,AS/NZS 4474.1:2007,2.5,2.6108,,,500.106,"Australia,New Zealand",43742,Superseded,385.0,687.0,,2010-03-31,Class 5,Unavailable,,,311.0,0.357,463.0,5T,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0191
