ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small,Registration Number,Is variable speed,Type variable output,Var output compressor,Variable output rated as fixed sp,No HSPF,Rated Total Cool Capacity W,Rated cooling power input kW,Have T1 half cap results,T1_half_cap_power_rated,T1_half_cap_cooling_cap_rated,Have T1 min cap results,T1_min_cap_power_rated,T1_min_cap_cooling_cap_rated,Have low temp cool full cap results,Low temp cooling full cap power rated,Low temp cooling full cap rated,Have low temp cool half cap results,Low temp cooling half cap power rated,Low temp cooling half cap rated,Have low temp cool min cap results,Low temp cooling min cap power rated,Low temp cooling min cap rated,Rated Heating Capacity watts,Rated heating power input kW,H1_half_cap_power_rated,H1_half_cap_heat_cap_rated,Have H1 min cap results,H1_min_cap_power_rated,H1_min_cap_heat_cap_rated,Have H2 extended mode results,H2_ext_cap_power_rated,H2_ext_cap_heat_cap_rated,Have H2 full mode results,H2_full_cap_power_rated,H2_full_cap_heat_cap_rated,Have H2 half capacity results,H2_half_cap_power_rated,H2_half_cap_heat_cap_rated,Have H2 min capacity results,H2_min_cap_power_rated,H2_min_cap_heat_cap_rated,Have H3 extended mode results,H3_ext_cap_power_rated,H3_ext_cap_heat_cap_rated,Have H3 full mode results,H3_full_cap_power_rated,H3_full_cap_heat_cap_rated,Have H3 half capacity results,H3_half_cap_power_rated,H3_half_cap_heat_cap_rated,indoor_sound_level,outdoor_sound_level,Residential TCSPF_cold,Residential TCSPF_mixed,Residential TCSPF_hot,Commercial TCSPF_cold,Commercial TCSPF_mixed,Commercial TCSPF_hot,Residential tcec_cold,Residential tcec_mixed,Residential tcec_hot,Commercial tcec_cold,Commercial tcec_mixed,Commercial tcec_hot,c_star_cold,c_star_mixed,c_star_hot,Residential HSPF_cold,Residential HSPF_mixed,Residential HSPF_hot,Commercial HSPF_cold,Commercial HSPF_mixed,Commercial HSPF_hot,Residential thec_cold,Residential thec_mixed,Residential thec_hot,Commercial thec_cold,Commercial thec_mixed,Commercial thec_hot,h_star_cold,h_star_mixed,h_star_hot,Outdoor unit only,Have_water_tank,Rated cool power input with water,Rated cool cap with water W,Rated cool cap with water kW,Residential tcec_cold with water,Residential tcec_mixed with water,Residential tcec_hot with water,PIA inoperative power,Rated AEER,Rated ACOP
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,KHA048S4B,,,LENNOX,1.38,Ducted,Packaged,,Air,Air,United States of America,3.71,10.96,12.34,1194.0,0.0,0.0,0.0,987.0,3.08,12.47,Calorimeter Room,3.3304,4.049,False,0.0,,70.0,70.0,0.0,0.0,,,,3.13045463771057,3.76017608394139,,,0.0,0.0,0.0,0.0,Calorimeter Room,Three,R410A,"Australia,New Zealand",97183,2021-03-04,,Approved,Reverse Cycle,2165.0,Class 7,False,,False,,,,,3.3304,Available,,,http://www.lennox.com/,http://www.lennoxaus.com.au,,,,AAC1938,,,,,,,3.71,,,,,,,,,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1267,3.7599
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,KHA036S4B,,,LENNOX,1.3,Ducted,Packaged,,Air,Air,United States of America,2.75,8.02,9.32,1194.0,0.0,0.0,0.0,987.0,2.393,9.06,Calorimeter Room,3.389,3.7844,False,0.0,,40.0,40.0,0.0,0.0,,,,3.23009156492786,3.58199509532474,,,0.0,0.0,0.0,0.0,Calorimeter Room,Three,R410A,"Australia,New Zealand",97186,2021-03-14,,Approved,Reverse Cycle,2165.0,Class 6,False,,False,,,,,3.389,Available,,,http://www.lennox.com/,http://www.lennoxaus.com.au,,,,AAC1945,,,,,,,2.75,,,,,,,,,,,,,,,,,2.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2303,3.5836
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,KHA060S4B,,,LENNOX,2.0,Ducted,Packaged,,Air,Air,United States of America,4.5,13.38,15.38,1194.0,0.0,0.0,0.0,1191.0,3.81,15.74,Calorimeter Room,3.421,4.1288,False,0.0,,70.0,70.0,0.0,0.0,,,,3.25001056501711,3.88748888230062,,,0.0,0.0,0.0,0.0,Calorimeter Room,Three,R410A,"Australia,New Zealand",97187,2021-03-04,,Approved,Reverse Cycle,2165.0,Class 7,False,,False,,,,,3.421,Available,,,http://www.lennox.com/,http://www.lennoxaus.com.au,,,,AAC1939,,,,,,,4.5,,,,,,,,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2471,3.8897
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,KHA072S4B,,,LENNOX,3.66,Ducted,Packaged,,Air,Air,United States of America,5.27,14.27,17.93,1194.0,0.0,0.0,0.0,1191.0,4.86,17.75,Calorimeter Room,3.4027,3.6561,False,0.0,,70.0,70.0,0.0,0.0,,,,3.25645588929648,3.48623492911283,,,0.0,0.0,0.0,0.0,Calorimeter Room,Three,R410A,"Australia,New Zealand",97188,2021-03-14,,Approved,Reverse Cycle,2496.0,Class 7,False,,False,,,,,3.4027,Available,,,http://www.lennox.com/,http://www.lennoxaus.com.au,,,,AAC1946,,,,,,,5.27,,,,,,,,,,,,,,,,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2561,3.4827
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,GKH48S3GI/GUHD48NS3GO,,,GREE,3.3,Non Ducted,Single Split System,Cassette,Air,Air,China,4.3,10.7,14.0,,0.0,0.0,0.0,,4.5,16.0,Calorimeter Room,3.2527,3.5012,True,0.0,,1.838,1.838,0.0,0.0,,,,3.24795433252862,3.49639929615019,,,1.9959,2.4928,1.5,2.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",97219,2021-03-11,,Approved,Reverse Cycle,,Class 5,True,True,,True,True,True,,3.2527,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_2.png,AAC1943,,Variable output compressor,Inverter,,,,4.3,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2511,3.5507
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,AS82NF1HRA* / 1U82SA2ERA,AS82NF1HRA* / 1U82SA2ERA,,Haier,1.8,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.41,6.2,8.0,270.0,2.59803620742559,8.467,3.259,365.0,2.45,9.0,Calorimeter Room,3.2753,3.6419,True,0.0,,1.6,1.6,0.0,0.0,,,,3.26814811942112,3.63384761109156,,,2.0363,2.7677,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",97261,2021-03-22,,Approved,Reverse Cycle,1316.0,Class 4,True,True,,True,True,True,,3.2753,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png,AAC1956,,Variable output compressor,Inverter,,,,2.41,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3121,3.6654
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,AS82NF1HRA(NH) / 1U82SA2ERA,AS82NF1HRA* / 1U82SA2ERA,,Haier,1.8,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.41,6.2,8.0,270.0,2.59803620742559,8.467,3.259,365.0,2.45,9.0,Calorimeter Room,3.2753,3.6419,True,0.0,,1.6,1.6,0.0,0.0,,,,3.26814811942112,3.63384761109156,,,2.0363,2.7677,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",97261,2021-03-22,,Approved,Reverse Cycle,1316.0,Class 4,True,True,,True,True,True,,3.2753,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png,AAC1956,,Variable output compressor,Inverter,,,,2.41,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3121,3.6654
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,AS82NF1HRA(NL) / 1U82SA2ERA,AS82NF1HRA* / 1U82SA2ERA,,Haier,1.8,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.41,6.2,8.0,270.0,2.59803620742559,8.467,3.259,365.0,2.45,9.0,Calorimeter Room,3.2753,3.6419,True,0.0,,1.6,1.6,0.0,0.0,,,,3.26814811942112,3.63384761109156,,,2.0363,2.7677,2.0,2.5,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",97261,2021-03-22,,Approved,Reverse Cycle,1316.0,Class 4,True,True,,True,True,True,,3.2753,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.5.png,AAC1956,,Variable output compressor,Inverter,,,,2.41,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3121,3.6654
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.2:2012,PRIH 25-45S,,,DUNNAIR,9.8,Ducted,Packaged,,Air,Air,China,15.6,36.2,46.0,,0.0,0.0,0.0,,15.6,49.2,Enthalpy Test Room,3.0003,3.1402,True,0.0,,70.0,80.0,0.0,0.0,,,,2.95484540573786,3.08706975346514,,,0.0,0.0,0.0,0.0,Enthalpy Test Room,Three,R410A,Australia,97303,2021-05-03,,Approved,Reverse Cycle,,Class 12,False,,False,,,,,3.0003,Available,,,http://www.dunnair.com.au/,http://www.dunnair.com.au,True,,,AAC2047,,"Variable output compressor,Thermostatic expansion value,Variable speed fan systems",Inverter,,,,15.6,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9047,3.1001
[SEER Non Multi-Split <=65kW] GEMS (Air Conditioners up to 65kW) Determination 2019,MEPS Oct 2011,AS/NZS 3823.1.1:2012,GKH24S3GI/GUHD24NS3GO,,,GREE,1.5,Non Ducted,Single Split System,Cassette,Air,Air,China,2.15,5.7,7.2,,0.0,0.0,0.0,,2.45,8.2,Calorimeter Room,3.2505,3.3958,True,0.0,,1.55,1.55,0.0,0.0,,,,3.24248712872772,3.38844001767882,,,1.985,2.2769,1.5,2.0,Calorimeter Room,Single,R410A,"Australia,Fiji,New Zealand",97337,2021-03-17,,Approved,Reverse Cycle,,Class 4,True,True,,True,True,True,,3.2505,Available,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_2.png,AAC1954,,Variable output compressor,Inverter,,,,2.15,,,,,,,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3407,3.3398
