ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,Family Name,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Water Consumption (litres),Star Rating (old),Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,GV640BWT(786),GV640BWT(786),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108239,Approved,13.4,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,SMS46GI01A,GV640BWT(786),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108239,Approved,13.4,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,SMS46GW01A,GV640BWT(786),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108239,Approved,13.4,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,SMS46GI02A,,AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108240,Approved,13.4,Freestanding,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,GV640BWT(788),GV640BWT(788),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108241,Approved,13.4,Built-in,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,SMI46GS01A,GV640BWT(788),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108241,Approved,13.4,Built-in,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,SMU46GS01A,GV640BWT(788),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108241,Approved,13.4,Built-in,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,14,230,Single,Turkey,True,,,IEC,SMV46GX01A,GV640BWT(788),AS/NZS 2007.1:2005,4.00603967231331,4.0,0.0,0.131,Eco 45,150.0,"Australia,Fiji,New Zealand",0.131,108241,Approved,13.4,Built-in,True,,2022-06-23,,Single product class,Available,,http://www.bosch-home.com.au/,13.4,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,GV640WT(951),GV640WT(951),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108242,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2015,BOSCH,15,235,Single,Germany,True,,,IEC,SMI88TS02A,GV640WT(951),AS/NZS 2007.1:2005,4.13917676835262,4.0,0.0,0.109,Eco 45,167.0,"Australia,Fiji,New Zealand",0.091,108242,Approved,11.85,Built-in,True,,2022-06-21,,Single product class,Available,,http://www.bosch-home.com.au/,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
