"Heating.Elements","app","powerkW","adjust_temp","Gross.Store.Cap"
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.73,"True",86
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.361,"True",50
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",1.063,"True",31
0,"hotwater_electric",0,"True",270
0,"hotwater_electric",0,"True",270
0,"hotwater_electric",0,"True",270
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.37,"True",217
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",0,"True",337.4
0,"hotwater_electric",0,"True",337.4
0,"hotwater_electric",0,"True",337.4
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",2.01,"True",129
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.73,"True",84
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",1.95,"True",140
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",2.16,"True",179
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",3.07,"True",424
0,"hotwater_electric",2.64,"True",270
0,"hotwater_electric",2.64,"True",270
0,"hotwater_electric",2.64,"True",270
0,"hotwater_electric",2.64,"True",270
0,"hotwater_electric",2.64,"True",270
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.42,"True",279
0,"hotwater_electric",2.42,"True",279
0,"hotwater_electric",2.42,"True",279
0,"hotwater_electric",2.42,"True",279
0,"hotwater_electric",2.42,"True",279
0,"hotwater_electric",2.42,"True",279
0,"hotwater_electric",2.42,"True",279
1,"hotwater_electric",2.84,"True",275
1,"hotwater_electric",2.84,"True",275
1,"hotwater_electric",2.84,"True",275
1,"hotwater_electric",2.84,"True",275
1,"hotwater_electric",2.84,"True",275
1,"hotwater_electric",2.84,"True",275
1,"hotwater_electric",2.84,"True",275
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.64,"True",271
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",2.92,"True",336
0,"hotwater_electric",1.53,"True",80
0,"hotwater_electric",1.81,"True",125
0,"hotwater_electric",2.02,"True",160
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.92,"True",330
0,"hotwater_electric",2.02,"True",160
0,"hotwater_electric",1.81,"True",125
