"app","powerkW","star","Screen.Size","Screen.Technology"
"computer_monitor",0.241095890410959,2,60.969,"LCD (LED)"
"computer_monitor",0.241095890410959,2,60.969,"LCD (LED)"
"computer_monitor",0.241095890410959,2,60.969,"LCD (LED)"
"computer_monitor",0.241095890410959,2,60.969,"LCD (LED)"
"computer_monitor",0.241095890410959,2,60.969,"LCD (LED)"
"computer_monitor",0.241095890410959,2,60.969,"LCD (LED)"
"computer_monitor",0.183561643835616,3,54.683,"LCD (LED)"
"computer_monitor",0.183561643835616,3,54.683,"LCD (LED)"
"computer_monitor",0.183561643835616,3,54.683,"LCD (LED)"
"computer_monitor",0.183561643835616,3,54.683,"LCD (LED)"
"computer_monitor",0.172602739726027,3,54.621,"LCD (LED)"
"computer_monitor",0.164383561643836,3,55.88,"LCD (LED)"
"computer_monitor",0.164383561643836,3,55.88,"LCD (LED)"
"computer_monitor",0.232876712328767,3,60.939,"LCD (LED)"
"computer_monitor",0.232876712328767,3,60.939,"LCD (LED)"
"computer_monitor",0.350684931506849,2,68.637,"LCD (LED)"
"computer_monitor",0.271232876712329,2,58.421,"LCD (LED)"
"computer_monitor",0.408219178082192,2,68.599,"LCD (LED)"
"computer_monitor",0.235616438356164,3,60.939,"LCD (LED)"
"computer_monitor",0.235616438356164,3,60.939,"LCD (LED)"
"computer_monitor",0.424657534246575,2,68.565,"LCD (LED)"
"computer_monitor",0.515068493150685,1,73.019,"LCD (LED)"
"computer_monitor",0.197260273972603,3,59.809,"LCD (LED)"
"computer_monitor",0.216438356164384,2,54.687,"LCD (LED)"
"computer_monitor",0.210958904109589,2,54.687,"LCD"
"computer_monitor",0.232876712328767,2,54.687,"LCD (LED)"
"computer_monitor",0.161643835616438,3,50.806,"LCD (LED)"
"computer_monitor",0.147945205479452,3,47.013,"LCD"
"computer_monitor",0.26027397260274,2,60.965,"LCD (LED)"
"computer_monitor",0.238356164383562,2,59.809,"LCD"
"computer_monitor",0.213698630136986,3,60.468,"LCD (LED)"
"computer_monitor",0.167123287671233,3,60.47,"LCD (LED)"
"computer_monitor",0.358904109589041,2,68.599,"LCD (LED)"
"computer_monitor",0.279452054794521,2,52.539,"LCD (LED)"
"computer_monitor",0.287671232876712,2,58.421,"LCD (LED)"
"computer_monitor",0.457534246575342,2,86.603,"LCD"
"computer_monitor",0.504109589041096,1,60.47,"LCD (LED)"
"computer_monitor",0.205479452054795,3,54.621,"LCD (LED)"
"computer_monitor",0.742465753424657,1,86.557,"LCD (LED)"
"computer_monitor",0.205479452054795,3,59.809,"LCD (LED)"
"computer_monitor",0.205479452054795,3,59.809,"LCD (LED)"
"computer_monitor",0.205479452054795,3,59.809,"LCD (LED)"
"computer_monitor",0.224657534246575,2,54.621,"LCD (LED)"
"computer_monitor",0.167123287671233,3,50.805,"LCD (LED)"
"computer_monitor",0.167123287671233,3,50.805,"LCD (LED)"
"computer_monitor",0.167123287671233,3,50.805,"LCD (LED)"
"computer_monitor",0.410958904109589,2,68.599,"LCD (LED)"
"computer_monitor",0.498630136986301,1,68.599,"LCD (LED)"
"computer_monitor",0.334246575342466,2,68.568,"LCD (LED)"
"computer_monitor",0.334246575342466,2,68.568,"LCD (LED)"
"computer_monitor",0.334246575342466,2,68.568,"LCD (LED)"
"computer_monitor",0.315068493150685,2,68.599,"LCD (LED)"
"computer_monitor",0.46027397260274,2,70.854,"LCD"
