"Tot.Vol","powerkW","app","star","Adaptive.Defrost","Configuration"
403,1.41095890410959,"fridge_freezer",2,"True","Upright"
403,1.41095890410959,"fridge_freezer",2,"True","Upright"
411,1.21369863013699,"fridge_freezer",2,"True","Upright"
411,1.21369863013699,"fridge_freezer",2,"True","Upright"
321,1.01095890410959,"fridge_freezer",2,"False","Upright"
360,1.08219178082192,"fridge_freezer",2,"False","Upright"
635,1.87123287671233,"fridge_freezer",1,"True","Side by Side"
NA,1.98082191780822,"fridge_freezer",1,"False","Side by Side"
621,1.75068493150685,"fridge_freezer",2,"False","Side by Side"
555,1.49041095890411,"fridge_freezer",2,"True","Side by Side"
555,1.49041095890411,"fridge_freezer",2,"True","Side by Side"
555,1.49041095890411,"fridge_freezer",2,"True","Side by Side"
270,1.12054794520548,"fridge_freezer",1,"False","Upright"
400,1.27123287671233,"fridge_freezer",2,"False","Upright"
622,1.67123287671233,"fridge_freezer",1,"True","Side by Side"
608,2.08219178082192,"fridge_freezer",1,"True","Side by Side"
608,2.08219178082192,"fridge_freezer",1,"True","Side by Side"
618,1.78082191780822,"fridge_freezer",1,"True","Side by Side"
604,2.08219178082192,"fridge_freezer",1,"True","Side by Side"
604,2.08219178082192,"fridge_freezer",1,"True","Side by Side"
258,1.13972602739726,"fridge_freezer",2,"False","Upright"
292,1.07945205479452,"fridge_freezer",2,"False","Upright"
470,1.35890410958904,"fridge_freezer",2,"False","Upright"
215,1.06849315068493,"fridge_freezer",2,"False","Upright"
580,1.98082191780822,"fridge_freezer",1,"False","Side by Side"
580,1.98082191780822,"fridge_freezer",1,"False","Side by Side"
580,1.98082191780822,"fridge_freezer",1,"False","Side by Side"
366,0.920547945205479,"fridge_freezer",3,"False","Upright"
512,1.64931506849315,"fridge_freezer",2,"False","Upright"
512,1.64931506849315,"fridge_freezer",2,"False","Upright"
512,1.64931506849315,"fridge_freezer",2,"False","Upright"
512,1.64931506849315,"fridge_freezer",2,"False","Upright"
610,1.65205479452055,"fridge_freezer",2,"False","Side by Side"
536,1.13150684931507,"fridge_freezer",3,"False","Upright"
536,1.13150684931507,"fridge_freezer",3,"False","Upright"
536,1.13150684931507,"fridge_freezer",3,"False","Upright"
542,1.07945205479452,"fridge_freezer",3,"False","Upright"
542,1.07945205479452,"fridge_freezer",3,"False","Upright"
542,1.07945205479452,"fridge_freezer",3,"False","Upright"
266,1.04109589041096,"fridge_freezer",2,"True","Upright"
265,1.0027397260274,"fridge_freezer",1,"True","Upright"
265,1.0027397260274,"fridge_freezer",1,"True","Upright"
458,0.964383561643836,"fridge_freezer",1,"False","Upright"
458,0.964383561643836,"fridge_freezer",1,"False","Upright"
624,1.45205479452055,"fridge_freezer",2,"True","Upright"
676,1.50684931506849,"fridge_freezer",2,"True","Upright"
551,1.33150684931507,"fridge_freezer",2,"False","Upright"
551,1.33150684931507,"fridge_freezer",2,"False","Upright"
551,1.33150684931507,"fridge_freezer",2,"False","Upright"
551,1.33150684931507,"fridge_freezer",2,"False","Upright"
585,1.41643835616438,"fridge_freezer",2,"True","Upright"
585,1.41643835616438,"fridge_freezer",2,"True","Upright"
585,1.41643835616438,"fridge_freezer",2,"True","Upright"
316,1.11506849315068,"fridge_freezer",2,"False","Upright"
316,1.11506849315068,"fridge_freezer",2,"False","Upright"
316,1.11506849315068,"fridge_freezer",2,"False","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
507,1.23561643835616,"fridge_freezer",2,"True","Upright"
342,1.15342465753425,"fridge_freezer",2,"False","Upright"
342,1.15342465753425,"fridge_freezer",2,"False","Upright"
342,1.15342465753425,"fridge_freezer",2,"False","Upright"
210,1.07671232876712,"fridge_freezer",1,"False","Upright"
633,1.78082191780822,"fridge_freezer",2,"True","Side by Side"
652,1.5041095890411,"fridge_freezer",2,"True","Side by Side"
190,0.912328767123288,"fridge_freezer",2,"True","Upright"
218,1.01643835616438,"fridge_freezer",2,"True","Upright"
520,1.45205479452055,"fridge_freezer",2,"False","Upright"
520,1.45205479452055,"fridge_freezer",2,"False","Upright"
520,1.45205479452055,"fridge_freezer",2,"False","Upright"
219,1.08219178082192,"fridge_freezer",2,"False","Upright"
442,0.986301369863014,"fridge_freezer",3,"True","Upright"
400,0.956164383561644,"fridge_freezer",3,"False","Upright"
400,0.956164383561644,"fridge_freezer",3,"False","Upright"
