"app","powerkW","Variable.output.compressor"
"closed_control",5.6,"True"
"closed_control",5.6,"True"
"closed_control",5.6,"True"
"closed_control",5.6,"True"
"closed_control",5.6,"True"
"closed_control",5.6,"True"
"closed_control",12.4,"True"
"closed_control",12.4,"True"
"closed_control",12.4,"True"
"closed_control",12.4,"True"
"closed_control",12.4,"True"
"closed_control",1.8,"False"
"closed_control",1.8,"False"
"closed_control",1.8,"False"
"closed_control",4.9,"False"
"closed_control",4.9,"False"
"closed_control",4.9,"False"
"closed_control",4.9,"False"
"closed_control",4.9,"False"
"closed_control",4.9,"False"
"closed_control",2.2,"False"
"closed_control",2.2,"False"
"closed_control",2.2,"False"
"closed_control",15.25,"True"
"closed_control",49.9,"True"
"closed_control",19.58,"True"
"closed_control",8.3,"True"
"closed_control",8.3,"True"
"closed_control",8.3,"True"
"closed_control",8.3,"True"
"closed_control",8.3,"True"
"closed_control",10.5,"True"
"closed_control",10.5,"True"
"closed_control",10.5,"True"
"closed_control",10.5,"True"
"closed_control",10.5,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",2.82,"True"
"closed_control",3.69,"False"
"closed_control",3.69,"False"
"closed_control",3.69,"False"
"closed_control",3.69,"False"
"closed_control",3.69,"False"
"closed_control",3.69,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",9.4,"False"
"closed_control",9.4,"False"
"closed_control",9.4,"False"
"closed_control",9.4,"False"
"closed_control",9.4,"False"
"closed_control",7.4,"True"
"closed_control",7.4,"True"
"closed_control",7.4,"True"
"closed_control",7.4,"True"
"closed_control",7.4,"True"
"closed_control",7.4,"True"
"closed_control",9.2,"True"
"closed_control",9.2,"True"
"closed_control",9.2,"True"
"closed_control",9.2,"True"
"closed_control",9.2,"True"
"closed_control",18.2,"True"
"closed_control",23.1,"True"
"closed_control",16.4,"False"
"closed_control",16.4,"False"
"closed_control",16.4,"False"
"closed_control",16.4,"False"
"closed_control",16.4,"False"
"closed_control",5.2,"True"
"closed_control",5.2,"True"
"closed_control",5.2,"True"
"closed_control",5.2,"True"
"closed_control",5.2,"True"
"closed_control",18.8,"True"
"closed_control",16.7,"False"
"closed_control",16.7,"False"
"closed_control",16.7,"False"
"closed_control",16.7,"False"
"closed_control",16.7,"False"
"closed_control",10.3,"False"
"closed_control",10.3,"False"
"closed_control",10.3,"False"
"closed_control",10.3,"False"
"closed_control",10.3,"False"
"closed_control",20.4,"True"
"closed_control",20.4,"True"
"closed_control",20.4,"True"
"closed_control",20.4,"True"
"closed_control",20.4,"True"
"closed_control",6,"False"
"closed_control",6,"False"
"closed_control",6,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",3.5,"False"
"closed_control",8.8,"False"
"closed_control",8.8,"False"
"closed_control",8.8,"False"
"closed_control",8.8,"False"
"closed_control",8.8,"False"
"closed_control",7.6,"False"
"closed_control",7.5,"False"
"closed_control",23.7,"False"
"closed_control",10.1,"False"
"closed_control",11.7,"False"
"closed_control",11.7,"False"
"closed_control",11.7,"False"
"closed_control",11.7,"False"
"closed_control",11.7,"False"
"closed_control",17,"False"
"closed_control",17,"False"
"closed_control",17,"False"
"closed_control",17,"False"
"closed_control",17,"False"
"closed_control",6.3,"False"
"closed_control",6.3,"False"
"closed_control",6.3,"False"
"closed_control",6.3,"False"
"closed_control",6.3,"False"
"closed_control",7.7,"True"
"closed_control",7.7,"True"
"closed_control",7.7,"True"
"closed_control",7.6,"True"
"closed_control",7.6,"True"
"closed_control",7.6,"True"
"closed_control",8.8,"False"
"closed_control",20.2,"True"
"closed_control",6.6,"False"
"closed_control",6.6,"False"
"closed_control",6.6,"False"
"closed_control",6.6,"False"
"closed_control",6.6,"False"
"closed_control",25.7,"True"
"closed_control",25.7,"True"
"closed_control",25.7,"True"
"closed_control",25.7,"True"
"closed_control",25.7,"True"
"closed_control",19.6,"True"
"closed_control",19.6,"True"
"closed_control",19.6,"True"
"closed_control",4.3,"True"
"closed_control",4.3,"True"
"closed_control",4.3,"True"
"closed_control",8.8,"True"
"closed_control",8.8,"True"
"closed_control",8.8,"True"
"closed_control",16.2,"False"
"closed_control",18.4,"False"
"closed_control",11.4,"False"
"closed_control",11.4,"False"
"closed_control",11.4,"False"
"closed_control",11.4,"False"
"closed_control",11.4,"False"
"closed_control",13.3,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",13.8,"False"
"closed_control",14.2,"False"
"closed_control",14.6,"False"
"closed_control",31.5,"False"
"closed_control",31.5,"False"
"closed_control",31.5,"False"
"closed_control",6.2,"True"
"closed_control",6.2,"True"
"closed_control",6.2,"True"
"closed_control",24.2,"True"
"closed_control",24.2,"True"
"closed_control",24.2,"True"
"closed_control",8.6,"False"
"closed_control",2.27,"False"
"closed_control",2.27,"False"
"closed_control",2.27,"False"
"closed_control",8.11,"False"
"closed_control",8.11,"False"
"closed_control",8.11,"False"
"closed_control",10.94,"False"
"closed_control",10.94,"False"
"closed_control",10.94,"False"
"closed_control",3.96,"False"
"closed_control",3.96,"False"
"closed_control",3.96,"False"
"closed_control",7.04,"False"
"closed_control",7.04,"False"
"closed_control",7.04,"False"
"closed_control",11.06,"False"
"closed_control",11.06,"False"
"closed_control",11.06,"False"
"closed_control",18.59,"False"
"closed_control",18.59,"False"
"closed_control",18.59,"False"
"closed_control",9.61,"True"
"closed_control",9.61,"True"
"closed_control",9.61,"True"
"closed_control",9.61,"True"
"closed_control",9.61,"True"
