"app","powerkW","star","Prog.Time"
"dishwasher",1.04657534246575,2,114
"dishwasher",1.06027397260274,2,126
"dishwasher",1.06027397260274,2,126
"dishwasher",0.580821917808219,4,97
"dishwasher",0.580821917808219,4,97.72
"dishwasher",0.580821917808219,4,99
"dishwasher",0.873972602739726,3,124
"dishwasher",0.901369863013699,3,113.88
"dishwasher",0.901369863013699,3,113.88
"dishwasher",0.901369863013699,3,113.88
"dishwasher",0.901369863013699,3,113.88
"dishwasher",0.750684931506849,3,112
"dishwasher",0.750684931506849,3,112
"dishwasher",0.750684931506849,3,112
"dishwasher",0.367123287671233,4,186
"dishwasher",0.367123287671233,4,186
"dishwasher",0.367123287671233,4,186
"dishwasher",0.904109589041096,3,133
"dishwasher",0.904109589041096,3,133
"dishwasher",0.904109589041096,3,133
"dishwasher",0.904109589041096,3,133
"dishwasher",0.523287671232877,2,107.55
"dishwasher",0.904109589041096,3,136
"dishwasher",0.904109589041096,3,136
"dishwasher",0.904109589041096,3,136
"dishwasher",0.904109589041096,3,136
"dishwasher",0.772602739726027,3,129
"dishwasher",0.772602739726027,3,129
"dishwasher",0.772602739726027,3,129
"dishwasher",0.772602739726027,3,129
"dishwasher",0.772602739726027,3,129
"dishwasher",0.772602739726027,3,129
"dishwasher",0.772602739726027,3,129
"dishwasher",0.871232876712329,3,159
"dishwasher",0.871232876712329,3,159
"dishwasher",0.871232876712329,3,159
"dishwasher",0.726027397260274,4,169
"dishwasher",0.726027397260274,4,169
"dishwasher",0.726027397260274,4,169
"dishwasher",0.887671232876712,3,120
"dishwasher",0.887671232876712,3,120
"dishwasher",0.887671232876712,3,120
"dishwasher",0.89041095890411,3,158
"dishwasher",0.89041095890411,3,158
"dishwasher",0.89041095890411,3,158
"dishwasher",0.89041095890411,3,158
"dishwasher",0.89041095890411,3,158
"dishwasher",0.73972602739726,4,142
"dishwasher",0.73972602739726,4,142
"dishwasher",0.73972602739726,4,142
"dishwasher",0.695890410958904,3,112
"dishwasher",0.695890410958904,3,112
"dishwasher",0.695890410958904,3,112
"dishwasher",0.695890410958904,3,112
"dishwasher",0.887671232876712,3,142
"dishwasher",0.887671232876712,3,142
"dishwasher",0.887671232876712,3,142
"dishwasher",0.887671232876712,3,142
"dishwasher",0.887671232876712,3,142
"dishwasher",0.887671232876712,3,142
"dishwasher",0.887671232876712,3,142
"dishwasher",0.772602739726027,3,129
"dishwasher",0.819178082191781,3,142.59
"dishwasher",0.958904109589041,3,195
"dishwasher",0.449315068493151,3,129.91
"dishwasher",0.671232876712329,4,165
"dishwasher",0.791780821917808,4,140
"dishwasher",0.657534246575342,4,142
"dishwasher",0.758904109589041,3,129
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.665753424657534,4,142
"dishwasher",0.805479452054795,4,156
"dishwasher",0.665753424657534,4,142
