"app","powerkW","star","screensize","Screen_Tech","Power.supply","Tuner.Type"
"television",1.00821917808219,2,116.809,"LCD (LED)","Internal","Analogue/Digital"
"television",0.76986301369863,3,138.779,"LCD (LED)","Internal","Analogue/Digital"
"television",0.547945205479452,3,97.799,"LCD (LED)","Internal","Analogue/Digital"
"television",1.1972602739726,3,163.878,"LCD (LED)","Internal","Analogue/Digital"
"television",0.304109589041096,2,59.81,"LCD (LED)","EPS","Analogue/Digital"
"television",0.238356164383562,2,47.013,"LCD (LED)","EPS","Analogue/Digital"
"television",0.216438356164384,2,47.013,"LCD (LED)","EPS","Analogue/Digital"
"television",1.7972602739726,2,163.897,"LCD","Internal","Analogue/Digital"
"television",1.06849315068493,2,123.039,"LCD (LED)","Internal","unknown"
"television",1.03835616438356,3,138.798,"LCD (LED)","Internal","Analogue/Digital"
"television",1.37808219178082,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",2.09041095890411,2,163.888,"LCD (LED)","Internal","Analogue/Digital"
"television",1.24383561643836,2,138.766,"LCD","Internal","Analogue/Digital"
"television",1.23287671232877,3,152.496,"LCD (LED)","Internal","Analogue/Digital"
"television",1.23287671232877,3,152.496,"LCD (LED)","Internal","Analogue/Digital"
"television",1.24383561643836,2,138.766,"LCD","Internal","Analogue/Digital"
"television",1.23287671232877,3,152.496,"LCD (LED)","Internal","Analogue/Digital"
"television",0.506849315068493,4,125.741,"LCD","Internal","Analogue/Digital"
"television",1.00547945205479,3,138.711,"LCD","Internal","Digital"
"television",1.41643835616438,2,138.798,"LCD (LED)","EPS","Analogue/Digital"
"television",1.62191780821918,2,163.896,"LCD (LED)","Internal","Analogue/Digital"
"television",1.6958904109589,2,163.878,"LCD (LED)","EPS","Analogue/Digital"
"television",1.95342465753425,2,163.829,"LCD (LED)","Internal","unknown"
"television",0.4,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",1.4958904109589,3,189.306,"LCD (LED)","Internal","Analogue/Digital"
"television",2.04657534246575,2,189.306,"LCD (LED)","Internal","Analogue/Digital"
"television",1.87424657534247,3,196.369,"LCD (LED)","Internal","Analogue/Digital"
"television",0.835616438356164,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",1.20821917808219,2,138.783,"LCD","Internal","Analogue/Digital"
"television",0.915068493150685,3,138.783,"OLED","Internal","Analogue/Digital"
"television",1.05753424657534,3,163.897,"OLED","Internal","Analogue/Digital"
"television",1.7041095890411,4,214.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.506849315068493,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.493150684931507,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.465753424657534,4,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.528767123287671,4,123.202,"LCD (LED)","Internal","Analogue/Digital"
"television",0.717808219178082,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.832876712328767,4,151.338,"LCD (LED)","Internal","Analogue/Digital"
"television",0.841095890410959,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
"television",0.49041095890411,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.750684931506849,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.917808219178082,3,151.338,"LCD (LED)","Internal","Analogue/Digital"
"television",0.96986301369863,4,163.897,"LCD (LED)","Internal","Analogue/Digital"
