Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,Sing_or_fam,standard_rating,condenser_type,cert_program,cooling_capacity,Decl_COP,Decl_IPLV,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status,Product Website,Representative Brand URL,Registration Basis
117378,DAIKIN,HXEV700TSTTG,,"Australia,New Zealand",China,Single,True,Water Cooled,,2100.0,6.222,11.89,2024-02-21,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,AHRI
117471,Dunham-Bush,DCLC150M,,Australia,Malaysia,Single,True,Water Cooled,,450.0,5.984,10.24,2023-11-07,,Approved,Single product class,Available,http://www.dunham-bush.com,http://www.dunham-bush.com,AHRI
117642,CARRIER,30XW-V160,30XW-V 160-458,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1625.0,6.335,10.09,2023-11-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117642,CARRIER,30XW-V 160-458,30XW-V 160-458,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1625.0,6.335,10.09,2023-11-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117642,CARRIER,30XW-V180,30XW-V 160-458,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1625.0,6.335,10.09,2023-11-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117642,CARRIER,30XW-V235,30XW-V 160-458,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1625.0,6.335,10.09,2023-11-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117642,CARRIER,30XW-V338,30XW-V 160-458,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1625.0,6.335,10.09,2023-11-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117642,CARRIER,30XW-V458,30XW-V 160-458,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,1625.0,6.335,10.09,2023-11-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117655,CARRIER,19XRV5555,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,,2100.0,6.192,9.274,2023-12-08,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
117704,GREE,LSBLGF520MH/NbA-M,,"Australia,Fiji,New Zealand",China,Single,True,Air Cooled,,510.5,3.18,4.34,2023-12-05,,Approved,Single product class,Available,,,AHRI
117869,BLUE BOX,KAPPA REV 37.2 LN,,Australia,Italy,Single,True,Air Cooled,,375.3,2.93,4.29,2023-11-30,,Approved,Single product class,Available,http://www.blueboxcooling.com/en,http://www.blueboxcooling.com/en,Eurovent
117870,BLUE BOX,TETRIS 2A 57.6,,Australia,Italy,Single,True,Air Cooled,,545.2,3.22,4.87,2023-11-30,,Approved,Single product class,Available,http://www.blueboxcooling.com/en,http://www.blueboxcooling.com/en,Eurovent
117871,BLUE BOX,KAPPA REV HE 40.2 LN,,Australia,Italy,Single,True,Air Cooled,,444.5,3.16,4.74,2023-11-30,,Approved,Single product class,Available,http://www.blueboxcooling.com/en,http://www.blueboxcooling.com/en,
117873,BLUE BOX,KAPPA REV 43.2 LN,,Australia,Italy,Single,True,Air Cooled,,461.8,2.74,4.32,2023-11-30,,Approved,Single product class,Available,http://www.blueboxcooling.com/en,http://www.blueboxcooling.com/en,Eurovent
118853,CARRIER,30XA1312,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Air Cooled,,1326.0,3.12,4.407,2024-01-22,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
118857,CARRIER,30KAV0600,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Air Cooled,,596.6,3.153,5.95,2024-01-23,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
