Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,N-Grandfather-Date,Reg_No,SoldIn,Country,Prod_conf,nov,pno,Apply_type_for,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Input voltage (V) Max,Input voltage (V) Min,Output voltage (V) Min
95831,SHENZHEN FUJIA APPLIANCE CO LTD,FJ-SW1201500S,,2016-01-12,,APS3534,"Australia,New Zealand",China,AC-DC,12.0,18.0,High Efficiency 2008 (Mark IV),Approved,2021-01-12,,Class 1,Unavailable,,,240.0,100.0,12.0
95832,ingenico,PSM24W-080L6,,2016-02-17,,APS3694,"Australia,Fiji,New Zealand",China,AC-DC,8.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-02-17,,Class 1,Available,,,240.0,100.0,8.0
95835,FUJITSU,ADP-40PH AD,,2016-01-19,,APS3588,"Australia,Fiji,New Zealand","China,Thailand",AC-DC,20.0,40.0,High Efficiency 2008 (Mark V),Approved,2021-01-19,,Class 1,Available,,,240.0,100.0,20.0
95842,HONOTO,ADS-25SGP-06 05020E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26FSG-12 12018EPSA,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26FSG-12 12024EPSA,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26FSG-12 15024EPSA,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26FSG-12 16024EPSA,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SG-12-2 12018E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SG-12-2 12024E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SG-12-2 15024E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SG-12-2 16024E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SGP-12 12018E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SGP-12 12024E,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95842,HONOTO,ADS-26SG Series,ADS-26SG Series,2016-01-27,,APS3623,"Australia,Fiji,New Zealand",China,AC-DC,16.0,24.0,High Efficiency 2014 (Mark VI),Approved,2021-01-27,,Class 1,Unavailable,,,240.0,100.0,5.0
95843,TIGER POWER,TG15-5011-19V,TG15-5011-19V,2016-01-15,,APS3545,"Australia,Fiji,New Zealand",Malaysia,AC-DC,19.0,51.3,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Available,,,240.0,100.0,19.0
95843,SATO,TG15-5011-19V,TG15-5011-19V,2016-01-15,,APS3545,"Australia,Fiji,New Zealand",Malaysia,AC-DC,19.0,51.3,High Efficiency 2014 (Mark VI),Approved,2021-01-15,,Class 1,Available,,,240.0,100.0,19.0
95844,FAIRWAY,VAN90C-480B-1A,VAN90C-480B-1A,2016-01-11,,APS3528,"Australia,Fiji,New Zealand",China,AC-DC,48.0,84.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,48.0
95844,Hewlett Packard Enterprise,VAN90C-480B-1A,VAN90C-480B-1A,2016-01-11,,APS3528,"Australia,Fiji,New Zealand",China,AC-DC,48.0,84.0,High Efficiency 2014 (Mark VI),Approved,2021-01-11,,Class 1,Available,,,240.0,100.0,48.0
95845,TIGER POWER,TG15-5011-25V,TG15-5011-25V,2016-01-22,,APS3603,"Australia,Fiji,New Zealand",Malaysia,AC-DC,25.0,52.5,High Efficiency 2014 (Mark VI),Approved,2021-01-22,,Class 1,Available,,,240.0,100.0,25.0
