ApplStandard,Brand,Country,In_Voltage,Model No,Family Name,model_comply,N-Standard,network_voltage,Out_Voltage,Output,powersupply,Sold_in,Submit_ID,SubmitStatus,SWERType,tested_PE,ExpDate,GrandDate,Product Class,Transformer Type,Availability Status,Product Website,Representative Brand URL
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,200M5**,200M**,False,AS 2374.1,22kV,433.0,200.0,Three Phase,"Australia,Fiji,New Zealand",106868,Approved,False,99.12,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,200M5JA-B,200M**,False,AS 2374.1,22kV,433.0,200.0,Three Phase,"Australia,Fiji,New Zealand",106868,Approved,False,99.12,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,315M4,315M4**,False,AS 2374.1,11kV,433.0,315.0,Three Phase,"Australia,Fiji,New Zealand",106869,Approved,False,99.12,2022-05-03,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,315M4**,315M4**,False,AS 2374.1,11kV,433.0,315.0,Three Phase,"Australia,Fiji,New Zealand",106869,Approved,False,99.12,2022-05-03,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,315M4JSA,315M4**,False,AS 2374.1,11kV,433.0,315.0,Three Phase,"Australia,Fiji,New Zealand",106869,Approved,False,99.12,2022-05-03,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,500AA4,500AA4**,False,AS 2374.1,11kV,433.0,500.0,Three Phase,"Australia,Fiji,New Zealand",106872,Approved,False,99.31,2022-05-05,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,500AA4**,500AA4**,False,AS 2374.1,11kV,433.0,500.0,Three Phase,"Australia,Fiji,New Zealand",106872,Approved,False,99.31,2022-05-05,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,11000.0,500AA4JAI-C,500AA4**,False,AS 2374.1,11kV,433.0,500.0,Three Phase,"Australia,Fiji,New Zealand",106872,Approved,False,99.31,2022-05-05,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,630K5,630K5**,False,AS 2374.1,22kV,440.0,630.0,Three Phase,"Australia,Fiji,New Zealand",106875,Approved,False,99.2,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,630K5**,630K5**,False,AS 2374.1,22kV,440.0,630.0,Three Phase,"Australia,Fiji,New Zealand",106875,Approved,False,99.2,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
Greenhouse and Energy Minimum Standards (Power Transformers) Determination 2012,TYREE,Australia,22000.0,630K5WPCT-1,630K5**,False,AS 2374.1,22kV,440.0,630.0,Three Phase,"Australia,Fiji,New Zealand",106875,Approved,False,99.2,2022-05-19,,Class 2,Oil Immersed,Available,http://tyree.com.au/,http://www.tyree.com.au
